model,mae_eV,rmse_eV,median_absolute_error_eV,r2,pearson,spearman
SynDE,0.13873237421375506,0.19828810178170164,0.10690111261294533,0.9999998169334692,0.9999999085018713,0.9999998208358548
ecfp4_ridge,0.3742663121257131,0.5174222170531522,0.28375437837121353,0.999998753461239,0.9999993769112013,0.9999989901679978
rdk5_ridge,0.36177854946162036,0.499108151419686,0.27552549451559116,0.9999988401416109,0.9999994201886844,0.9999990531916355
maccs_ridge,1.0559583105887007,1.305309777882118,0.9072776109048846,0.9999920669018971,0.999996034386093,0.9999949744737981
chemprop_dmpnn,0.31082580573712726,0.44015060794981803,0.23210729783966144,0.9999990979756643,0.9999995490161738,0.9999992995372268
