model,mean_pearson,mean_spearman,mean_pairwise_concordance,top1_accuracy
SynDE,0.9417784110500872,0.8810148309815532,0.909273169056863,0.789351081530782
ecfp4_ridge,0.7578851298821134,0.6864370730445469,0.7955148826030689,0.5617304492512479
rdk5_ridge,0.7882459430748536,0.7096149537969709,0.8080280220796028,0.58369384359401
maccs_ridge,0.8302510447039226,0.7507635492274521,0.8249149755655331,0.6140588036498817
chemprop_dmpnn,0.922586123332252,0.8622509381910379,0.8960098248950162,0.7643926788685524
